Atualizado em: 2025-01-27
"Aeroporto_Origem_Designador_OACI";"Aeroporto_Origem_Nome_UF_Pais ";"Aeroporto_Destino_Designador_OACI";"Aeroporto_Destino_Nome_UF_Pais";"Etapas_Previstas";"Percentuais_de_Cancelamentos";"Percentuais_de_Atrasos_superiores_a_30_minutos";"Percentuais_de_Atrasos_superiores_a_60_minutos"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"48";"0";"0";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"LPPT";"LISBOA(PORTUGAL)";"26";"0";"15,38";"7,69"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"MMUN";"CANCUN/INTL (MÉXICO)";"7";"0";"14,29";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"MPTO";"TOCUMEN INTL(PANAMÁ)";"37";"0";"0";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"9";"33,33";"16,67";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBAR";"SANTA MARIA(SE, BRASIL)";"33";"0";"0";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"131";"0,76";"9,23";"2,31"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBBV";"ATLAS BRASIL CANTANHEDE(RR, BRASIL)";"77";"0";"6,49";"1,3"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"253";"3,16";"11,84";"4,49"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBCG";"CAMPO GRANDE(MS, BRASIL)";"61";"1,64";"5";"1,67"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBCT";"AFONSO PENA(PR, BRASIL)";"108";"0";"6,48";"2,78"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBCY";"MARECHAL RONDON(MT, BRASIL)";"71";"0";"4,23";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"116";"0";"6,9";"1,72"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"46";"2,17";"4,44";"0"
"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"146";"0";"5,48";"2,74"
